,FullAddress,long,lat
179,Nordbahnstr. 015 13359 Berlin,13.3893141,52.566698
180,Wattstr. 016 13355 Berlin,13.389416,52.5408548
181,Gottschedstr. 028 13357 Berlin,13.3723251,52.5525584
182,Lynarstr. 012 13353 Berlin,13.3597976,52.54030179999999
183,Freienwalder Str. 019C 13359 Berlin,13.3925334,52.5582246
184,Togostr. 067 13351 Berlin,13.3443828,52.5509844
185,Wiesenstr. 049-50 13357 Berlin,13.3743731,52.5473142
186,Wolgaster Str. 004-2 13355 Berlin,13.3973006,52.5392222
187,Koloniestr. 024A 13359 Berlin,13.380198,52.5581993
188,Dubliner Str. 029 13349 Berlin,13.3439493,52.5592821
189,Ruheplatzstr. 013 13347 Berlin,13.3617023,52.5475798
190,Afrikanische Str. 028 13351 Berlin,13.3419173,52.5490731
191,Bornholmer Str. 044 13359 Berlin,13.3937469,52.5551427
192,Stettiner Str. 021 13357 Berlin,13.3877781,52.5542491
193,Petersallee 029 13351 Berlin,13.3336457,52.555813
194,Nazarethkirchstr. 050 13347 Berlin,13.3594855,52.5478616
195,Seestr. 035 13353 Berlin,13.3496417,52.5490119
196,Soldiner Str. 021 13359 Berlin,13.3876976,52.5582824
197,Sprengelstr. 035 13353 Berlin,13.3548209,52.5417617
198,Feldstr. 020 13355 Berlin,13.3841746,52.53728210000001
199,Hochstädter Str. 014 13347 Berlin,13.364139,52.55089659999999
200,Reinickendorfer Str. 062 13347 Berlin,13.365982,52.5543693
201,Bastianstr. 018 13357 Berlin,13.3805669,52.55053789999999
202,Eulerstr. 010 13357 Berlin,13.3918905,52.5540814
203,Sprengelstr. 033 13353 Berlin,13.3539474,52.5415803
204,Fehmarner Str. 014 13353 Berlin,13.350278,52.5396691
205,Glasgower Str. 026 13349 Berlin,13.3437523,52.55619549999999
206,Grüntaler Str. 008 13357 Berlin,13.3862034,52.551802
207,Türkenstr. 005 13349 Berlin,13.3482283,52.5539468
208,Lütticher Str. 005 13353 Berlin,13.3477831,52.546668
209,Amsterdamer Str. 012 13347 Berlin,13.3571568,52.5514325
210,Sparrstr. 019 13353 Berlin,13.3594703,52.5424607
211,Sparrstr. 020 13353 Berlin,13.3595539,52.54237020000001
212,Togostr. 078 13351 Berlin,13.3471559,52.5494103
213,Türkenstr. 015 13349 Berlin,13.3495016,52.5548035
214,Wiesenstr. 028 13357 Berlin,13.3720709,52.5487012
215,Sparrstr. 021 13353 Berlin,13.3596896,52.5422232
216,Amsterdamer Str. 013 13347 Berlin,13.3573693,52.5515686
217,Wiesenstr. 025 13357 Berlin,13.373812,52.5492117
218,Afrikanische Str. 121 13351 Berlin,13.3352973,52.5545347
219,Müllerstr. 008 13353 Berlin,13.3676166,52.5416906
220,Schwedenstr. 003A 13357 Berlin,13.3762793,52.5549559
221,Liebenwalder Str. 045 13347 Berlin,13.361523,52.5519951
222,Sparrstr. 022 13353 Berlin,13.3598545,52.5420446
223,Stettiner Str. 056 13357 Berlin,13.3850882,52.55250479999999
224,Stralsunder Str. 007 13355 Berlin,13.396244,52.5398455
225,Wollankstr. 061D 13359 Berlin,13.3864667,52.5605403
226,Exerzierstr. 032A 13357 Berlin,13.3722512,52.5543803
227,Swinemünder Str. 064 13355 Berlin,13.3946855,52.54770180000001
228,Oudenarder Str. 001B 13347 Berlin,13.36587,52.55366
229,Soldiner Str. 033 13359 Berlin,13.3842257,52.5592614
230,Edinburger Str. 039 13349 Berlin,13.3475952,52.5563935
231,Seestr. 090 13347 Berlin,13.3588412,52.55421
232,Grüntaler Str. 012 13357 Berlin,13.3869204,52.5523318
233,Grüntaler Str. 034 13359 Berlin,13.3930253,52.555536
234,Neue Hochstr. 044 13347 Berlin,13.375613,52.5402325
235,Malplaquetstr. 024 13347 Berlin,13.3571394,52.5520923
236,Amsterdamer Str. 019B 13347 Berlin,13.35568,52.55072
237,Zingster Str. 012 13357 Berlin,13.3889405,52.55032370000001
238,Malplaquetstr. 037 13347 Berlin,13.3605382,52.5501568
239,Malplaquetstr. 010 13347 Berlin,13.3596346,52.55066309999999
240,Antonstr. 019 13347 Berlin,13.3649242,52.5479704
241,Swinemünder Str. 065 13355 Berlin,13.3936981,52.5476997
242,Drontheimer Str. 023A 13359 Berlin,13.37659,52.56014
243,Kurt-Schumacher-Damm 041 13405 Berlin,13.3248715,52.5598672
244,Prinzenallee 024 13359 Berlin,13.3848664,52.55663029999999
245,Osloer Str. 105D 13359 Berlin,13.3812143,52.5548431
246,Liebenwalder Str. 044 13347 Berlin,13.3612579,52.55198559999999
247,Sternstr. 009 13359 Berlin,13.3898325,52.5651173
248,Gustav-Meyer-Allee 002 13355 Berlin,13.3907732,52.5445632
249,Brüsseler Str. 038 13353 Berlin,13.3491284,52.5464752
250,Türkenstr. 020 13349 Berlin,13.3486909,52.5542586
251,Türkenstr. 004 13349 Berlin,13.3481955,52.5539247
252,Tegeler Str. 006 13353 Berlin,13.3608724,52.5391512
