,Betreuungsbezirk Nr,Betreuungsbezirk,Einrichtungsnummer,Einrichtungsname,Einrichtungsadresse,PLZ,Telefon,Plätze,Einrichtungsart,Trägernummer,Trägername,Trägerart,FullAddress,Unnamed: 0,long,lat
284,01,Mitte,1031700,EKT Berliner Stadtmäuse,Transvaalstr. 020,13351,015253036039,25.0,Eltern-Initiativ-Kindertagesstätte,8047.0,EKT Berliner Stadtmäuse e. V.,Sonstiger freier Träger,Transvaalstr. 020 13351 Berlin,278,13.3401894,52.5510514
285,01,Mitte,1031710,Kita Die kleinen Frösche,Malplaquetstr. 035,13347,29685555,17.0,Kindertagesstätte,7424.0,Kinderland Wedding e.V.,Sonstiger freier Träger,Malplaquetstr. 035 13347 Berlin,279,13.3601129,52.55039319999999
286,01,Mitte,1031720,Kita Paradiesvögel Stettiner Straße,Stettiner Str. 008,13357,030 95611311,83.0,Kindertagesstätte,7464.0,EVENTUS-BILDUNG e.V.,Sonstiger freier Träger,Stettiner Str. 008 13357 Berlin,280,13.3850654,52.5524876
287,01,Mitte,1031740,Kita Arif und Alina,Burgsdorfstr. 013,13353,91443202,23.0,Kindertagesstätte,8129.0,"""KITA Arif & Alina"" gUG (haftungsbeschränkt)",Sonstiger freier Träger,Burgsdorfstr. 013 13353 Berlin,281,13.3622594,52.5425563
288,01,Mitte,1031740,Kita Arif und Alina,Burgsdorfstr. 013,13353,91443202,23.0,Kindertagesstätte,8129.0,"""KITA Arif & Alina"" gUG (haftungsbeschränkt)",Sonstiger freier Träger,Burgsdorfstr. 013 13353 Berlin,323,13.3622594,52.5425563
289,01,Mitte,1032220,Kita Paradiesvögel - Die Zebrafinken -,Burgsdorfstr. 013,13353,23538642,18.0,Kindertagesstätte,7464.0,EVENTUS-BILDUNG e.V.,Sonstiger freier Träger,Burgsdorfstr. 013 13353 Berlin,281,13.3622594,52.5425563
290,01,Mitte,1032220,Kita Paradiesvögel - Die Zebrafinken -,Burgsdorfstr. 013,13353,23538642,18.0,Kindertagesstätte,7464.0,EVENTUS-BILDUNG e.V.,Sonstiger freier Träger,Burgsdorfstr. 013 13353 Berlin,323,13.3622594,52.5425563
291,01,Mitte,1031750,Kita Vielfalter,Exerzierstr. 026,13357,33848511,25.0,Kindertagesstätte,8153.0,Konsti e. V.,Sonstiger freier Träger,Exerzierstr. 026 13357 Berlin,282,13.3733788,52.55448310000001
292,01,Mitte,1031760,KITA Wirbelzwirbel,Tegeler Str. 013,13353,(030) 45797887,60.0,Kindertagesstätte,1355.0,Käpt'n Browser gemeinnützige Gesellschaft mit beschränkter Haftung,Sonstiger freier Träger,Tegeler Str. 013 13353 Berlin,283,13.3586681,52.5400509
293,01,Mitte,1031780,Kita - Die Bärenbande,Soldiner Str. 070/71,13359,030/92280767,25.0,Kindertagesstätte,7754.0,BEB Bildungseinrichtung für Erziehung und Bildung e.V.,Sonstiger freier Träger,Soldiner Str. 070/71 13359 Berlin,284,13.3816585,52.5599679
